Channel;x;y;z;SAP2000_id;SAP2000_dir
1;0;0.25;0.4125;249.1;up
2;0;0.25;0.6625;265.1;up
3;0;0;0.6625;263.1;up
4;0;0;0.1625;302.1;up
5;0;0;1.1625;295.1;up
6;0.5;0;0.4125;253.1;up
7;0.5;0.25;1.2;298;up
8;0.5;0.25;0.8375;282.1;up
9;0.5;0;0.8375;285.3;up
10;0.5;0.25;0.1625;307.3;up
11;0.5;0.25;0.6625;266.3;up
12;0;0.25;0.1625;304.1;up
13;0;0.25;0.8375;281.3;up
14;0;0;0.4125;247.1;up
15;0.5;0.25;0.4125;250.3;up
16;0.5;0;0.6625;269.1;up
17;0.5;0;0.1625;308.1;up
# See: C:\Users\Usuario\Documents\DOCTORADO_CODES\TFM_codes\src\EfI_data\SG_location.csv; channels 16 and 17 are not optimal, so I have manually searched them;;;;;